literal,codepoint_ucs,codepoint_jis208,radical_classical,radical_nelson_c,grade,jlpt,stroke_count,dic_number_classical,dic_number_nelson_c,reading_ja_on,reading_ja_kun,meaning_en,meaning_fr,meaning_es,meaning_pt,nanori
愛,611b,1-16-06,61,87,4,2,13,,2829,['アイ'],"['いと.しい', 'かな.しい', 'め.でる', 'お.しむ', 'まな']","['love', 'affection', 'favourite']","['amour', 'affection', 'favori']","['amor', 'afecto', 'favorito']","['amor', 'afeição', 'favorito']","['あ', 'あし', 'え', 'かな', 'なる', 'めぐ', 'めぐみ', 'よし', 'ちか']"
悪,60aa,1-16-13,61,1,3,3,11,,62,"['アク', 'オ']","['わる.い', 'わる-', 'あ.し', 'にく.い', '-にく.い', 'ああ', 'いずくに', 'いずくんぞ', 'にく.む']","['bad', 'vice', 'rascal', 'false', 'evil', 'wrong']","['mauvais', 'vice', 'vaurien', 'faux', 'mal']","['malo', 'incorrecto', 'equivocado', 'odio', 'mal']","['mal', 'ruim', 'falso', 'mau', 'errado']",[]
圧,5727,1-16-21,32,27,5,2,5,,818,"['アツ', 'エン', 'オウ']","['お.す', 'へ.す', 'おさ.える', 'お.さえる']","['pressure', 'push', 'overwhelm', 'oppress', 'dominate']","['pression', 'pousser', 'submerger', 'oppresser', 'dominer']","['presión', 'opresión']","['pressão', 'empurrar', 'inundar', 'oprimir', 'dominar']",[]
安,5b89,1-16-34,40,,3,4,6,,1283,['アン'],"['やす.い', 'やす.まる', 'やす', 'やす.らか']","['relax', 'cheap', 'low', 'quiet', 'rested', 'contented', 'peaceful']","['paisible', 'calme', 'tranquille', 'pas cher', 'reposant', 'satisfait']","['barato', 'tranquilo', 'pacífico']","['relaxar', 'calmo', 'baixo', 'barato', 'descansado', 'pacífico', 'satisfeito']","['あ', 'あす', 'あず', 'あっ', 'や']"
暗,6697,1-16-37,72,,3,3,13,,2154,['アン'],"['くら.い', 'くら.む', 'くれ.る']","['darkness', 'disappear', 'shade', 'informal', 'grow dark', 'be blinded']","['obscurité', 'disparaître', 'ombre', 'informel', ""s'assombrir"", 'être aveuglé']","['oscuro', 'poco claro', 'memorizar', 'sombrío']","['escuridão', 'desaparecer', 'sombra', 'informal', 'escurecer', 'cegar']",[]
案,6848,1-16-38,75,40,4,2,10,,1308,['アン'],['つくえ'],"['plan', 'suggestion', 'draft', 'ponder', 'fear', 'proposition', 'idea', 'expectation', 'worry', 'table', 'bench']","['plan', 'suggestion', 'projet (loi)', 'réflexion', 'peur', 'proposition', 'idée', 'attente']","['plan', 'idea', 'sugerencia', 'borrador']","['plano', 'sugestão', 'esboço', 'ponderar', 'medo', 'proposição', 'idéia', 'expectativa', 'conta', 'preocupar']",[]
以,4ee5,1-16-42,9,,4,3,5,,348,['イ'],['もっ.て'],"['by means of', 'because', 'in view of', 'compared with']","['au moyen de', 'parce que', 'en vue de', 'comparé à']","['además de', 'más que']","['Por meios de', 'porque', 'em visão de', 'comparada com']",['もち']
位,4f4d,1-16-44,9,,4,2,7,,401,['イ'],"['くらい', 'ぐらい']","['rank', 'grade', 'throne', 'crown', 'about', 'some']","['rang', 'position', 'grade', 'trône', 'couronne', 'à peu près']","['grado', 'posición', 'aproximadamente', 'trono']","['posição', 'grau', 'trono', 'coroa', 'sobre', 'alguma']",['ぞき']
囲,56f2,1-16-47,31,,5,2,7,,1032,['イ'],"['かこ.む', 'かこ.う', 'かこ.い']","['surround', 'besiege', 'store', 'paling', 'enclosure', 'encircle', 'preserve', 'keep']","['entourer', 'assiéger', 'enceinte', 'palissade', 'encercler', 'réserve', 'garder']","['circunferencia', 'rodear', 'cercar']","['circundar', 'sitiar', 'loja', 'paliçada', 'cerca', 'preservar', 'guardar']",[]
委,59d4,1-16-49,38,115,3,2,8,,3267,['イ'],['ゆだ.ねる'],"['committee', 'entrust to', 'leave to', 'devote', 'discard']","['comité', 'confier à', 'laisser à', 'se consacrer', 'abandonner']","['confiar', 'confianza', 'detallado']","['comitê', 'confiar a', 'deixar para', 'dedicar', 'descartar']",['まかせ']
意,610f,1-16-53,61,180,3,3,13,,5113,['イ'],[],"['idea', 'mind', 'heart', 'taste', 'thought', 'desire', 'care', 'liking']","['idée', 'esprit', 'coeur', 'pensée', 'attention', 'goût', 'désir']","['idea', 'sentimiento', 'razón', 'intención']","['idéia', 'mente', 'coração', 'gosto', 'pensamento', 'desejo', 'atenção']","['もと', 'よし']"
易,6613,1-16-55,72,,5,2,8,,2107,"['エキ', 'イ']","['やさ.しい', 'やす.い']","['easy', 'ready to', 'simple', 'fortune-telling', 'divination']","['facile', 'prêt-à-...', 'simple', 'voyance', 'divination', 'commerce']","['fácil', 'simple', 'cambio', 'intercambio', 'adivinación', 'sencillo']","['Fácil', 'ler a sorte', 'pronto para', 'simples', 'advinhação']",[]
異,7570,1-16-59,102,,6,2,11,,3008,['イ'],"['こと', 'こと.なる', 'け']","['uncommon', 'different', 'queerness', 'strangeness', 'wonderful', 'curious', 'unusual']","['inhabituel', 'bizarrerie', 'étrangeté', 'surprenant', 'curieux', 'extraordinaire']","['raro', 'extraño', 'inusual', 'diferente']","['incomum', 'esquisito', 'estranho', 'raro', 'curioso', 'maravilhoso']",[]
移,79fb,1-16-60,115,,5,2,11,,3282,['イ'],"['うつ.る', 'うつ.す']","['shift', 'move', 'change', 'drift', 'catch (cold, fire)', 'pass into']","['déplacer', 'transporter', 'déménager', 'changer', 'inconstant', 'prendre (froid, feu)', 'transférer']","['cambio de lugar', 'movimiento', 'traslado', 'mudarse', 'ser infectado', 'ser contagioso', 'trasladar', 'infectar']","['trocar', 'mover', 'mudança', 'rumo', 'pegar (fogo)', 'passar (frio)', 'passar']",[]
胃,80c3,1-16-63,130,102,6,2,9,,3000,['イ'],[],"['stomach', 'paunch', 'crop', 'craw']","['estomac', 'ventre', 'jabot']","['estómago', 'barriga']","['estômago', 'barriga', 'colheita', 'papo de ave']",[]
衣,8863,1-16-65,145,,4,2,6,145,4214,"['イ', 'エ']","['ころも', 'きぬ', '-ぎ']","['garment', 'clothes', 'dressing']","['vêtement', 'habillement']","['prenda', 'ropas', 'vestidos']","['vestuário', 'roupas', 'vestindo']",[]
遺,907a,1-16-68,162,,6,1,15,,4745,"['イ', 'ユイ']",['のこ.す'],"['bequeath', 'leave behind', 'reserve']","['léguer', 'laisser derrière', 'garder']","['olvidar', 'dejar atrás', 'legar', 'dejar en herencia']","['legar', 'deixar para trás', 'reservar']",[]
医,533b,1-16-69,23,22,3,3,7,,763,['イ'],"['い.やす', 'い.する', 'くすし']","['doctor', 'medicine']","['médecin', 'docteur']","['doctor', 'médico', 'medicina', 'curar']","['doutor', 'remédio']",[]
井,4e95,1-16-70,7,4,4,1,4,,165,"['セイ', 'ショウ']",['い'],"['well', 'well crib', 'town', 'community']","['puits', 'margelle', 'ville', 'communauté']","['pozo', 'ciudad']",['poço'],"['いの', 'さい', 'ひ']"
域,57df,1-16-72,32,,6,2,11,,1085,['イキ'],[],"['range', 'region', 'limits', 'stage', 'level']","['zone', 'champ', 'région', 'limites', 'stade', 'niveau']","['rango', 'región', 'límite']","['série', 'região', 'limites', 'estágio', 'nível']",[]
育,80b2,1-16-73,130,8,3,2,8,,296,['イク'],"['そだ.つ', 'そだ.ち', 'そだ.てる', 'はぐく.む']","['bring up', 'grow up', 'raise', 'rear']","['élever', 'grandir']","['educar', 'criar', 'ser educado', 'crecer']","['educar', 'crescer', 'levantar', 'elevar']",['やす']
一,4e00,1-16-76,1,,1,4,1,1,1,"['イチ', 'イツ']","['ひと-', 'ひと.つ']","['one', 'one radical (no.1)']","['un', 'radical un (no. 1)']","['uno', '1']",['um'],"['かず', 'い', 'いっ', 'いる', 'かつ', 'かづ', 'てん', 'はじめ', 'ひ', 'ひとつ', 'まこと']"
茨,8328,1-16-81,140,,4,0,9,,3930,"['シ', 'ジ']","['いばら', 'かや', 'くさぶき']","['briar', 'thorn']","['épine', 'églantier']","['espina', 'zarza']",[],"['あし', 'えばら', 'ばら', 'まつ', 'まん']"
印,5370,1-16-85,26,2,4,2,6,,102,['イン'],"['しるし', '-じるし', 'しる.す']","['stamp', 'seal', 'mark', 'imprint', 'symbol', 'emblem', 'trademark', 'evidence', 'souvenir', 'India']","['tampon', 'sceau', 'impression', 'empreinte', 'symbole', 'emblème', 'marque', 'preuve', 'souvenir', 'Inde']","['estampa', 'sello', 'marca', 'signo', 'símbolo']","['selo', 'carimbo', 'marca', 'símbolo', 'emblema', 'marca registrada', 'evidência', 'lembrança', 'Índia']",[]
員,54e1,1-16-87,30,,3,3,10,,928,['イン'],[],"['employee', 'member', 'number', 'the one in charge']","['employé', 'membre', 'nombre (de personnes)', 'personne en charge']","['empleado', 'miembro', 'personal']","['empregado', 'membro', 'número', 'encarregado']","['いな', 'かず']"
因,56e0,1-16-88,31,,5,2,6,,1026,['イン'],"['よ.る', 'ちな.む']","['cause', 'factor', 'be associated with', 'depend on', 'be limited to']","['cause', 'facteur', 'associé à', 'dépendre de', 'limité à']","['causa', 'origen', 'depender de', 'contar con']","['causa', 'fator', 'seja associado com', 'contar com', 'ser limitado para']",['て']
引,5f15,1-16-90,57,,2,3,4,,1562,['イン'],"['ひ.く', 'ひ.ける']","['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to']","['tirer', 'admettre', 'installer', 'citation', 'référence', 'jouer (musique)', 'attraper (froid)']","['tirar', 'remolcar', 'retroceder', 'ser guiado', 'arrastrar', 'tocar (instrumento de cuerda)']","['puxar', 'rebocar', 'sacudir', 'permitir', 'instalar', 'citação', 'referir-se']","['いな', 'ひき', 'ひけ', 'びき']"
飲,98f2,1-16-91,184,,3,4,12,,5159,"['イン', 'オン']","['の.む', '-の.み']","['drink', 'smoke', 'take']","['boire', 'fumer', 'prendre']",['beber'],"['beber', 'fumar', 'tomar']",[]
院,9662,1-17-01,170,,3,3,10,,4991,['イン'],[],"['Inst.', 'institution', 'temple', 'mansion', 'school']","['temple', 'institution', 'résidence', 'école', 'hôpital']","['institución', 'templo', 'hospital']","['instituição', 'templo', 'mansão', 'escola']",[]
右,53f3,1-17-06,30,,1,4,5,,878,"['ウ', 'ユウ']",['みぎ'],['right'],['droite'],['derecha'],['Direita'],"['あき', 'すけ']"
宇,5b87,1-17-07,40,,6,2,6,,1280,['ウ'],[],"['eaves', 'roof', 'house', 'heaven']","['firmament', 'cieux', 'auvent', 'toit', 'maison']","['edificio grande', 'cielo', 'sensación']","['Beira de telhado', 'teto', 'casa', 'paraíso']","['いえ', 'たか', 'ひろ', 'ひろし']"
羽,7fbd,1-17-09,124,,2,2,6,124,3673,['ウ'],"['は', 'わ', 'はね']","['feathers', 'counter for birds, rabbits']","['plume', ""compteur d'oiseaux, lapins""]","['pluma', 'alas', 'contador de pájaros y conejos']","['penas', 'sufixo para contagem de pássaros', 'coelhos']","['しゅう', 'ば']"
雨,96e8,1-17-11,173,,1,4,8,173,5042,['ウ'],"['あめ', 'あま-', '-さめ']",['rain'],['pluie'],['lluvia'],['chuva'],[]
運,904b,1-17-31,162,,3,3,12,,4725,['ウン'],['はこ.ぶ'],"['carry', 'luck', 'destiny', 'fate', 'lot', 'transport', 'progress', 'advance']","['porter', 'chance', 'destin', 'destinée', 'sort', 'progrès']","['suerte', 'destino', 'transportar']","['carregar', 'sorte', 'destino', 'objetivo', 'transportar', 'progresso', 'avanço']",[]
雲,96f2,1-17-32,173,,2,2,12,,5046,['ウン'],"['くも', '-ぐも']",['cloud'],['nuage'],['nube'],['nuvem'],"['き', 'ずも', 'のめ']"
営,55b6,1-17-36,30,,5,2,12,,963,['エイ'],"['いとな.む', 'いとな.み']","['camp', 'perform', 'build', 'conduct (business)']","['travail', 'camp', 'exécuter', 'construire', 'diriger']","['negocio', 'campamento', 'dirigir un negocio']","['ocupação', 'acampamento', 'desempenhar', 'construção', 'conduta (negócios)']",[]
映,6620,1-17-39,72,,6,3,9,,2118,['エイ'],"['うつ.る', 'うつ.す', 'は.える', '-ば.え']","['reflect', 'reflection', 'projection']","['projection', 'refléter', 'réflexion']","['reflejo', 'reflexión', 'reflejar', 'reflejarse', 'proyectarse', 'proyectar']","['reflitir', 'reflexão', 'projeção']","['あきら', 'え', 'てる']"
栄,6804,1-17-41,75,,4,2,9,,2239,"['エイ', 'ヨウ']","['さか.える', 'は.え', '-ば.え', 'は.える', 'え']","['flourish', 'prosperity', 'honor', 'glory', 'splendor']","['florissant', 'prospérité', 'honneur', 'gloire', 'splendeur']","['florecer', 'prosperidad', 'honor', 'gloria', 'prosperar']","['florescer', 'prosperidade', 'honra', 'glória', 'esplendor']","['さかえ', 'しげ', 'てる', 'なが', 'ひで', 'よし']"
永,6c38,1-17-42,85,3,5,2,5,,130,['エイ'],['なが.い'],"['eternity', 'long', 'lengthy']","['éternité', 'long', 'permanent']","['eterno', 'infinito', 'perpetuo', 'largo', 'prolongado']","['eternidade', 'ambicionar']","['え', 'と', 'のり', 'ひさ', 'ひさし']"
泳,6cf3,1-17-43,85,,3,2,8,,2520,['エイ'],['およ.ぐ'],['swim'],['nager'],['nadar'],['nadar'],[]
