kanji_result,kanji1,kanji2,codepoint_ucs_res,radical_type,codepoint_ucs_k1,codepoint_jis208_k1,dic_number_classical_k1,dic_number_nelson_c_k1,codepoint_ucs_k2,codepoint_jis208_k2,dic_number_classical_k2,dic_number_nelson_c_k2
愛,,,611b,,,,,,,,,
悪,心,亜,60aa,tradit,5fc3,1-31-20,61,1645,,,,
圧,土,厂,5727,tradit,571f,1-37-58,32,1050,,,,
安,宀,女,5b89,general,,,,,5973,1-29-87,38,1185
暗,日,音,6697,general,65e5,1-38-92,72,2097,97f3,1-18-27,180,5110
案,木,安,6848,tradit,6728,1-44-58,75,2170,5b89,1-16-34,,1283
以,,,4ee5,,,,,,,,,
位,亻,立,4f4d,general,,,,,7acb,1-46-09,117,3343
囲,囗,井,56f2,general,,,,,4e95,1-16-70,,165
委,女,禾,59d4,tradit,5973,1-29-87,38,1185,,,,
意,心,音,610f,tradit,5fc3,1-31-20,61,1645,97f3,1-18-27,180,5110
易,日,勿,6613,general,65e5,1-38-92,72,2097,,,,
異,田,共,7570,general,7530,1-37-36,102,2994,5171,1-22-06,,581
移,禾,多,79fb,general,,,,,591a,1-34-31,,1169
胃,月,田,80c3,tradit,6708,1-23-78,74,2169,7530,1-37-36,102,2994
衣,,,8863,,,,,,,,,
遺,⻌,貴,907a,general,,,,,8cb4,1-21-14,,4504
医,匸,矢,533b,general,,,,,77e2,1-44-80,111,3168
井,二,廾,4e95,tradit,4e8c,1-38-83,7,273,,,,
域,土,或,57df,general,571f,1-37-58,32,1050,,,,
育,,,80b2,,,,,,,,,
一,,,4e00,,,,,,,,,
茨,艹,次,8328,general,,,,,6b21,1-28-01,,638
印,,,5370,,,,,,,,,
員,口,貝,54e1,general,53e3,1-24-93,30,868,8c9d,1-19-13,154,4486
因,囗,大,56e0,general,,,,,5927,1-34-71,37,1171
引,弓,丨,5f15,general,5f13,1-21-61,57,1560,,,,
飲,飠,欠,98f2,general,,,,,6b20,1-23-71,76,2412
院,⻖,完,9662,general,,,,,5b8c,1-20-16,,1288
右,,,53f3,,,,,,,,,
宇,宀,于,5b87,general,,,,,,,,
羽,,,7fbd,,,,,,,,,
雨,,,96e8,,,,,,,,,
運,⻌,軍,904b,general,,,,,8ecd,1-23-19,,628
雲,雨,云,96f2,general,96e8,1-17-11,173,5042,,,,
営,,,55b6,,,,,,,,,
映,日,央,6620,general,65e5,1-38-92,72,2097,592e,1-17-91,,86
栄,,,6804,,,,,,,,,
永,水,丶,6c38,tradit,6c34,1-31-69,85,2482,,,,
泳,氵,永,6cf3,general,,,,,6c38,1-17-42,,130
英,艹,央,82f1,general,,,,,592e,1-17-91,,86
衛,行,韋,885b,tradit,884c,1-25-52,144,4213,,,,
液,氵,夜,6db2,general,,,,,591c,1-44-75,,298
益,,,76ca,,,,,,,,,
駅,馬,尺,99c5,general,99ac,1-39-47,187,5191,5c3a,1-28-60,,1377
円,,,5186,,,,,,,,,
園,囗,袁,5712,general,,,,,,,,
延,廴,正,5ef6,general,,,,,6b63,1-32-21,,27
沿,氵,㕣,6cbf,general,,,,,,,,
演,氵,寅,6f14,general,,,,,,,,
遠,⻌,袁,9060,general,,,,,,,,
塩,,,5869,,,,,,,,,
央,大,丨,592e,tradit,5927,1-34-71,37,1171,,,,
往,彳,主,5f80,general,,,,,4e3b,1-28-71,,285
応,心,广,5fdc,tradit,5fc3,1-31-20,61,1645,,,,
横,木,黄,6a2a,general,6728,1-44-58,75,2170,9ec4,1-18-11,201',5399
王,,,738b,,,,,,,,,
黄,龷,由,9ec4,group,,,,,7531,1-45-19,,89
岡,山,冂,5ca1,tradit,5c71,1-27-19,46,1407,,,,
沖,氵,中,6c96,general,,,,,4e2d,1-35-70,,81
億,亻,意,5104,general,,,,,610f,1-16-53,,5113
屋,尸,至,5c4b,general,,,,,81f3,1-27-74,133,3845
恩,心,因,6069,general,5fc3,1-31-20,61,1645,56e0,1-16-88,,1026
